time,time_ms,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass,FuelRate
06:55:00,24900000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:01,24901000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:02,24902000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:03,24903000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:04,24904000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:05,24905000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:06,24906000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:07,24907000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:08,24908000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:09,24909000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:10,24910000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:11,24911000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:12,24912000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:13,24913000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:14,24914000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
06:55:15,24915000,0.0,0.0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,0.8375094
