time,time_ms,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass,Power
6:55:00,24900000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:01,24901000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:02,24902000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:03,24903000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:04,24904000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:05,24905000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:06,24906000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:07,24907000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:08,24908000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:09,24909000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:10,24910000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:11,24911000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:12,24912000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:13,24913000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:14,24914000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:15,24915000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:16,24916000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:17,24917000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:18,24918000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:19,24919000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:20,24920000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:21,24921000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:22,24922000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
6:55:23,24923000,0,0,Route1_trip151687020_06:55:00,8,Euro4,Gasoline,Gillig_105,Passenger,6.702348
